_date,total_clones,unique_clones
2024-06-14,19,2
2024-06-15,18,1
2024-06-16,18,1
2024-06-17,18,1
2024-06-18,18,1
2024-06-19,18,1
2024-06-20,18,1
2024-06-21,18,1
2024-06-22,18,1
2024-06-23,18,1
2024-06-24,18,1
2024-06-25,18,1
2024-06-26,18,1
2024-06-27,44,4
2024-06-28,18,1
2024-06-29,19,2
2024-06-30,20,1
2024-07-01,21,2
2024-07-02,18,1
2024-07-03,18,1
2024-07-04,18,1
2024-07-05,18,1
2024-07-06,18,1
2024-07-07,20,1
2024-07-08,19,2
2024-07-09,18,1
2024-07-10,19,2
2024-07-11,18,1
2024-07-12,18,1
2024-07-13,18,1
2024-07-14,20,1
2024-07-15,20,2
2024-07-16,18,1
2024-07-17,18,1
2024-07-18,18,1
2024-07-19,18,1
2024-07-20,19,2
2024-07-21,20,1
2024-07-22,18,1
2024-07-23,18,1
2024-07-24,18,1
2024-07-25,18,1
2024-07-26,19,2
2024-07-27,18,1
2024-07-28,19,1
2024-07-29,20,1
2024-07-30,18,1
2024-07-31,18,1
2024-08-01,18,1
2024-08-02,18,1
2024-08-03,18,1
2024-08-04,20,1
2024-08-05,19,2
2024-08-06,18,1
2024-08-07,18,1
2024-08-08,18,1
2024-08-09,18,1
2024-08-10,18,1
2024-08-11,18,1
